Provider Number,State,Clinical Process of Care Score, Patient Experience of Care Score,Outcome Score,Efficiency Score,TPS
10001,AL,52.85714286,15,41.42857143,10,28.10714286
10005,AL,77.14285714,65,32.85714286,10,39.60714286
10006,AL,72.85714286,49,34.28571429,20,38.25
10007,AL,54.28571429,28,50,0,32.42857143
10008,AL,,,55,0,33.84615385
10011,AL,40,21,44.28571429,0,26.96428571
10012,AL,57.14285714,51,26,0,28.86428571
10016,AL,57.14285714,23,52.85714286,0,32.60714286
10019,AL,55.71428571,44,56.66666667,10,41.73809524
10021,AL,62.85714286,60,36.66666667,20,40.95238095
10022,AL,,,50,0,30.76923077
10023,AL,40,22,45.71428571,10,30.28571429
10024,AL,38.57142857,37,52.85714286,0,34.25
10029,AL,68.57142857,46,44.28571429,60,51.07142857
10032,AL,,,85,80,83.07692308
10033,AL,60,64,48.57142857,10,43.92857143
10034,AL,,84,86.66666667,60,78.51851852
10035,AL,92.85714286,51,57.14285714,20,49.89285714
10036,AL,85.71428571,25,22.5,40,33.82142857
10038,AL,47.14285714,43,70,20,48.46428571
10039,AL,47.14285714,45,55.71428571,0,38.25
10040,AL,25.71428571,14,51.42857143,0,26.64285714
10044,AL,100,,55,60,62.66666667
10045,AL,77.5,94,70,30,66.75
10046,AL,48.57142857,37,40,10,32.60714286
10047,AL,,79,75,70,74.72222222
10049,AL,70,30,37.5,0,29.5
10051,AL,,,75,20,53.84615385
10052,AL,,36,85,100,75.55555556
10055,AL,97.14285714,54,35.71428571,0,37.5
10056,AL,62.85714286,50,44.28571429,0,36.5
10058,AL,,,40,20,32.30769231
10059,AL,,47,43.33333333,50,46.2037037
10061,AL,24.28571429,46,75,30,51.42857143
10062,AL,0,66,30,10,31
10065,AL,61.42857143,79,68.33333333,0,53.22619048
10073,AL,,71,53.33333333,10,46.2037037
10078,AL,24.28571429,24,31.42857143,10,23.5
10079,AL,70,61,25,20,37.25
10083,AL,95.71428571,47,66.66666667,20,52.98809524
10085,AL,71.42857143,34,61.42857143,10,42.71428571
10086,AL,25,38,83.33333333,0,45.33333333
10087,AL,64.28571429,47,37.5,10,35.67857143
10089,AL,100,35,45,0,36.75
10090,AL,74.28571429,38,38.57142857,10,34.85714286
10091,AL,58,36,30,0,26.8
10092,AL,48.57142857,33,22.85714286,0,22.25
10095,AL,,,60,30,48.46153846
10097,AL,,74,40,0,38.33333333
10099,AL,27.14285714,75,45,0,39.46428571
10100,AL,45.71428571,55,45.71428571,20,41.60714286
10101,AL,91.42857143,29,37.5,10,33.89285714
10103,AL,81.42857143,44,18.57142857,0,26.57142857
10104,AL,78.57142857,55,37.14285714,0,36.46428571
10108,AL,64,59,62.5,40,56.15
10109,AL,,,36.66666667,60,45.64102564
10112,AL,31.66666667,41,40,20,34.41666667
10113,AL,58.57142857,47,30,10,32.10714286
10114,AL,24.28571429,19,32.85714286,10,22.82142857
10118,AL,85.71428571,18,62.85714286,10,40.71428571
10120,AL,,90,23.33333333,30,43.7037037
10125,AL,,57,46.66666667,50,50.46296296
10126,AL,55.71428571,51,62.5,0,43.32142857
10128,AL,,,40,90,59.23076923
10129,AL,85,63,40,20,45.25
10130,AL,76.66666667,72,50,80,65.66666667
