Facility ID,State,Clinical Outcomes Score,Person and Community Engagement Score, Safety Score,Efficiency and Cost Reduction Score,TPS
10001,AL,60,45,40,0,36.25
10005,AL,38,35,40,0,28.25
10006,AL,22,25,56,0,25.75
10007,AL,6.666666667,52,,0,19.55555556
10011,AL,26,28,32,0,21.5
10012,AL,45,14,90,30,44.75
10016,AL,48,21,66,0,33.75
10019,AL,50,42,38,0,32.5
10021,AL,30,54,,0,28
10023,AL,32,26,2,0,15
10024,AL,18,29,34,0,20.25
10029,AL,12,39,58,30,34.75
10033,AL,54,37,24,10,31.25
10034,AL,50,49,,100,66.33333333
10035,AL,18,20,46,0,21
10036,AL,72,16,75,10,43.25
10038,AL,22,32,50,10,28.5
10039,AL,30,32,24,0,21.5
10040,AL,38,18,80,0,34
10045,AL,6.666666667,83,,50,46.55555556
10046,AL,62,30,50,40,45.5
10049,AL,40,25,50,30,36.25
10052,AL,15,61,,0,25.33333333
10055,AL,8,26,50,10,23.5
10056,AL,70,48,38,0,39
10061,AL,32.5,31,,0,21.16666667
10062,AL,33.33333333,59,,10,34.11111111
10065,AL,42,53,100,0,48.75
10069,AL,33.33333333,40,,0,24.44444444
10073,AL,30,82,,20,44
10078,AL,32,22,16,10,20
10079,AL,7.5,31,33.33333333,30,25.45833333
10083,AL,36,54,55,30,43.75
10085,AL,40,22,26,10,24.5
10086,AL,23.33333333,65,,0,29.44444444
10087,AL,,26,58,0,28
10089,AL,25,37,35,0,24.25
10090,AL,44,37,56,10,36.75
10092,AL,34,14,18,0,16.5
10099,AL,36.66666667,50,,0,28.88888889
10100,AL,30,46,42,30,37
10103,AL,42,33,60,0,33.75
10104,AL,48,41,34,0,30.75
10108,AL,82.5,62,15,30,47.375
10112,AL,16.66666667,46,,60,40.88888889
10113,AL,30,48,24,0,25.5
10114,AL,22,23,46,0,22.75
10118,AL,15,18,90,10,33.25
10120,AL,16.66666667,87,,0,34.55555556
10125,AL,50,56,,50,52
10129,AL,25,66,,30,40.33333333
10130,AL,13.33333333,67,,50,43.44444444
